Id,Model,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
323,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,9,2001,36269,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
324,Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,8,2001,36074,Petrol,110,1,1,1600,5,4,5,19,1075,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
325,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,1,2001,36066,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1
326,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,6,2001,34599,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1
327,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,4,2001,34000,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1
328,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,3,2001,33623,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
329,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,12,2001,33591,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
330,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,10,2001,33258,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1
331,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,2,2001,33113,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
332,Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,4,2001,33000,Petrol,110,1,1,1600,5,4,6,19,1075,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
333,?Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,10,2001,32941,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
334,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,7,2001,32781,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
335,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,5,2001,32532,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
336,Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,11,2001,32431,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
337,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,10,2001,32000,Petrol,110,0,0,1600,3,4,5,69,1040,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
339,Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,12,2001,31000,Petrol,110,1,0,1600,5,4,5,19,1075,0,1,6,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0
340,Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,4,2001,30989,Petrol,110,0,0,1600,3,4,5,69,1045,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
341,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,2,2001,30742,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
342,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,3,2001,30190,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
343,Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,4,2001,29716,Petrol,116,1,0,1600,5,4,5,85,1075,0,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
344,Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,1,2001,29716,Petrol,110,1,1,1600,3,4,5,85,1070,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
345,Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,3,2001,29640,Petrol,110,0,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
346,?Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,4,2001,29056,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
347,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,12,2001,28715,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1
348,?Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,4,2001,28571,Petrol,110,0,0,1600,5,4,5,85,1090,1,1,3,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0
349,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,5,2001,28362,Petrol,110,1,0,1600,3,4,5,69,1040,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1
350,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,7,2001,28150,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1
351,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,2,2001,27301,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
352,?Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,12,2001,27240,Petrol,110,1,0,1600,5,4,5,85,1075,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
353,Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,6,2001,27170,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
354,?Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,3,2001,27141,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
355,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,7,2001,26262,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
356,Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,7,2001,26000,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
357,Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,2,2001,25228,Petrol,110,1,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
358,?Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,6,2001,25062,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1
359,Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,6,2001,24723,Petrol,110,1,1,1600,4,4,5,85,1060,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
360,Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,12,2001,24650,Petrol,110,1,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
361,?Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,2,2001,24553,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
362,?Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,4,2001,24475,Petrol,110,1,0,1600,5,4,5,69,1030,0,1,12,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
363,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,6,2001,24444,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1
364,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,10,2001,24011,Petrol,97,0,0,1400,3,4,5,69,1025,1,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
365,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,2001,24000,Petrol,97,1,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
366,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,5,2001,23616,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
367,Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,7,2001,22865,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
368,Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,4,2001,22780,Petrol,86,1,0,1300,5,4,5,69,1035,1,1,3,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
369,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,10,2001,21904,Petrol,97,0,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
370,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,2001,21651,Petrol,97,0,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
371,Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,8,2001,21500,Petrol,110,1,0,1600,5,4,5,69,1030,1,0,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
372,?Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,1,2001,21027,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
373,Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,6,2001,18500,Petrol,110,0,0,1600,4,4,5,69,1030,0,0,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
374,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,10,2001,18000,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1
375,Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,5,2001,17051,Petrol,97,0,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
376,Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,12,2001,16512,Petrol,97,1,0,1400,5,4,5,19,1085,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
377,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,5,2001,16325,Petrol,110,1,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
378,Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,7,2001,16000,Petrol,97,1,0,1400,5,4,5,85,1060,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
379,Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,6,2001,12000,Petrol,110,1,0,1600,5,4,5,85,1075,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
380,Corolla 1.4 VVTI LB 4/5-Doors,13500,43,2,2001,10000,Petrol,97,1,0,1400,5,4,5,85,1060,0,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
381,?Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,4,2000,216000,Diesel,69,0,0,1900,3,4,5,185,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
382,Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,6,2000,198167,Diesel,69,0,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0
383,Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,4,2000,176000,Diesel,69,0,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
384,Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,3,2000,174139,Diesel,72,1,0,2000,4,4,5,185,1100,0,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
385,Corolla 1.9 D Sedan 4/5-Doors,8900,45,12,2000,174000,Diesel,69,1,0,1900,5,4,5,185,1095,0,0,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
386,Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,2,2000,150000,CNG,110,1,0,1600,3,4,5,72,1075,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
387,Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,3,2000,149329,Diesel,72,1,0,2000,5,4,5,185,1135,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
388,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,6,2000,146736,Petrol,110,1,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
389,Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,4,2000,143513,Diesel,69,0,0,1900,5,4,5,185,1140,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,9,2000,142130,CNG,110,0,0,1600,5,4,5,197,1119,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1
391,Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,9,2000,140700,Diesel,69,1,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
392,?Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,3,2000,138394,Diesel,69,1,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0
393,Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,2,2000,137000,Diesel,72,1,0,2000,5,4,5,185,1135,0,0,3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
394,Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,5,2000,135258,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
395,Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,8,2000,131364,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
396,Corolla 1.8D Stationwagen,4450,56,1,2000,129155,Diesel,69,0,0,1800,5,4,5,64,1110,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
397,?Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,7,2000,126110,Petrol,110,0,0,1600,3,4,5,85,1055,0,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0
398,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,9,2000,119742,Petrol,110,1,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
399,Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,4,2000,117913,Diesel,69,1,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0
400,Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,10,2000,117430,Diesel,90,1,0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
401,Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,2,2000,117175,Petrol,110,1,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0
402,Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,3,2000,115558,Petrol,110,1,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
403,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,2000,115113,Petrol,97,1,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
404,Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,3,2000,115046,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0
405,Corolla 2.0D 4/5-Doors,5150,56,1,2000,113997,Diesel,72,1,0,2000,5,4,5,64,1135,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
406,Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,8,2000,107859,Petrol,97,0,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
407,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,5,2000,104805,Petrol,97,1,0,1400,3,4,5,69,1025,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
408,Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,3,2000,103454,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0
409,Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,6,2000,103018,Diesel,69,0,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
410,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,10,2000,102352,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1
411,Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,7,2000,102030,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
412,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,3,2000,101352,Petrol,110,0,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0
413,Corolla 1.6 16v TERRA 4/5-Doors,7900,50,7,2000,99865,Petrol,110,1,0,1600,4,4,5,69,1035,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
414,?Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,5,2000,99323,Petrol,110,1,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
415,Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,9,2000,98100,Diesel,69,1,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
416,?Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,6,2000,98040,Petrol,110,0,0,1600,5,4,5,85,1080,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
417,Corolla 1.6 HB SOL 2/3-Doors,10900,49,8,2000,97600,Petrol,110,1,0,1600,3,4,5,69,1045,0,1,6,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
418,?Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,2,2000,97234,Petrol,110,0,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
419,?Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,6,2000,96135,Diesel,72,0,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
420,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,3,2000,96100,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
421,?Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,2,2000,94401,Diesel,72,0,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
422,?Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,2,2000,94122,Petrol,86,1,0,1300,3,4,5,69,1015,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
423,Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,8,2000,91340,Petrol,110,1,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1
424,Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,2000,90200,Petrol,97,0,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
425,Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,4,2000,90097,Diesel,69,1,0,1900,5,4,5,185,1140,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1
426,?Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,9,2000,89049,Petrol,97,1,0,1400,5,4,5,85,1060,0,1,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
427,?Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,5,2000,89000,Petrol,110,0,0,1600,5,4,5,85,1075,0,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
428,?Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,12,2000,87274,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
429,?Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,8,2000,86221,Petrol,110,0,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0
430,Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,3,2000,84598,Petrol,110,0,0,1600,5,4,5,19,1075,0,1,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
431,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,7,2000,83567,Petrol,110,0,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
432,Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,7,2000,83106,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1
433,?Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,7,2000,82805,Petrol,110,1,0,1600,3,4,5,69,1040,1,1,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
434,Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,7,2000,82735,Petrol,97,1,0,1400,3,4,5,69,1030,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
435,?Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,3,2000,81905,Petrol,110,1,0,1600,5,4,5,19,1105,0,1,6,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0
436,Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,8,2000,80320,Petrol,110,1,1,1600,3,4,5,85,1070,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1
437,Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,8,2000,80090,Petrol,97,1,0,1400,3,4,5,69,1030,0,1,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
438,Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,4,2000,79800,Petrol,110,0,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
439,?Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,10,2000,78785,CNG,110,1,0,1600,5,4,5,197,1119,1,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
440,?Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,9,2000,78600,Petrol,110,1,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0
441,Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,2,2000,77780,Petrol,110,0,0,1600,3,4,5,69,1040,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
442,Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,8,2000,77648,Petrol,110,0,0,1600,4,4,5,69,1030,1,1,3,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
443,?Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,3,2000,77270,Petrol,110,1,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
444,Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,7,2000,76167,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
445,?Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,11,2000,75249,Petrol,110,1,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
446,Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,3,2000,75231,Petrol,110,1,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
